Kanji#Reading#JLPT#Type#Meaning
['いじり回す']#[['いじりまわす']]#4#['&v5s;']#['to tinker with', 'to fumble with', 'to twist up']
['通がる']#[['つうがる']]#4#['&v5r;']#['to act like a know-it-all', 'to pretend you know everything', 'to fancy one is an authority']
['遠行']#[['えんこう'], ['えんぎょう'], ['おんぎょう']]#4#['&n;', '&vs;']#['going afar']
['キュン死']#[['キュンし'], ['きゅんし']]#4#['&n;', '&vs;']#['dying of cuteness', \"dying from seeing something that makes one's heart go pitter-patter\"]
['注ぎ出す']#[['そそぎだす']]#4#['&v5s;']#['to pour out']
['股を開く']#[['またをひらく']]#4#['&exp;', '&v5k;']#[\"to spread one's legs\"]
['夜出発']#[['よるしゅっぱつ']]#4#['&n;', '&vs;']#['evening departure', 'night departure']
['本音を言う']#[['ほんねをいう']]#4#['&exp;', '&v5u;']#[\"to speak one's mind\", 'to be frank', 'to tell the truth']
['楽しませる']#[['たのしませる']]#4#['&v1;', '&vt;']#['to amuse', 'to delight', 'to entertain', 'to please', 'to regale', 'to give someone a good time', 'to impart delight', 'to give pleasure to']
['首がすわる']#[['くびがすわる']]#4#['&exp;', '&v5r;']#[\"to be able to hold one's head up (of a baby)\"]
['意味がある']#[['いみがある']]#4#['&exp;', '&v5r-i;']#['to have meaning', 'to be meaningful']
['帰洛']#[['きらく']]#4#['&n;', '&vs;']#['returning to a capital city (esp. Kyoto)']
['重きをなす']#[['おもきをなす']]#4#['&exp;', '&v5s;']#['to carry weight', 'to be important', 'to have influence', 'to be a leading figure', 'to be esteemed']
['作する']#[['さくする']]#4#['&vs-s;']#['to make', 'to produce', 'to manufacture']
['不足を言う']#[['ふそくをいう']]#4#['&exp;', '&v5u;']#['to complain', \"to express one's dissatisfaction\"]
['目で物を言う']#[['めでものをいう']]#4#['&exp;', '&v5u;']#['to communicate with a look', {'_': \"to talk with one's eyes\", '$': {'g_type': 'lit'}}]
['勿体をつける']#[['もったいをつける']]#4#['&exp;', '&v1;']#['to put on airs', 'to assume importance']
['白黒をつける']#[['しろくろをつける']]#4#['&exp;', '&v1;']#['to determine whether something is right or wrong', 'to make something clear', 'to settle a matter']
['待ちぼうけを食う']#[['まちぼうけをくう']]#4#['&exp;', '&v5u;']#['to go on waiting only to be disappointed', 'to wait in vain']
['入村']#[['にゅうそん']]#4#['&n;', '&vs;']#['entering a village', 'moving to a village']
['来京']#[['らいきょう']]#4#['&n;', '&vs;']#['coming to a capital city (esp. Tokyo or Kyoto)']
['待ったをかける']#[['まったをかける']]#4#['&exp;', '&v1;']#['to put a stop to', 'to put a hold on', 'to put the brakes on', 'to call a halt to', 'to block', 'to shelve']
['手を借りる']#[['てをかりる']]#4#['&exp;', '&v1;']#[\"to get (someone's) help\", 'to ask for help']
['地に足がつく']#[['ちにあしがつく']]#4#['&exp;', '&v5k;']#[\"to keep one's feet on the ground\", 'to be down to earth']
['目を走らせる']#[['めをはしらせる']]#4#['&exp;', '&v1;']#['to glance at', 'to look at', 'to scan', \"to run one's eyes over\"]
['顔をゆがめる']#[['かおをゆがめる']]#4#['&exp;', '&v1;']#['to grimace', 'to make a wry face']
['区別をつける']#[['くべつをつける']]#4#['&exp;', '&v1;']#['to distinguish between', 'to tell the difference between']
['目に映る']#[['めにうつる']]#4#['&exp;', '&v5r;']#['to be visible to', 'to be seen by', \"to meet one's eyes\"]
['足止めを食う']#[['あしどめをくう']]#4#['&exp;', '&v5u;']#['to be stranded', 'to be forced to stay', 'to be obliged to stay']
['代わりになる']#[['かわりになる']]#4#['&exp;', '&v5r;']#['to substitute for', 'to stand in for', 'to fill in for']
['スイッチを切る']#[['スイッチをきる']]#4#['&exp;', '&v5r;']#['to switch off', 'to turn off']
['見つめ合う']#[['みつめあう']]#4#['&v5u;']#['to stare at each other', 'to lock eyes with']
['頭がどうかしている']#[['あたまがどうかしている']]#4#['&exp;', '&v1;']#['to be crazy', 'to be mad', 'to have a screw loose']
['顔がほころぶ']#[['かおがほころぶ']]#4#['&exp;', '&v5b;']#['to break into a smile', 'to smile broadly', 'to beam']
['頭を働かせる']#[['あたまをはたらかせる']]#4#['&exp;', '&v1;']#['to think', \"to use one's head\", \"to exercise one's brains\"]
['心を引かれる']#[['こころをひかれる']]#4#['&exp;', '&v1;']#['to be attracted (by)', 'to take an interest (in)']
['開かれる']#[['ひらかれる']]#4#['&v1;', '&vi;']#['to be open']
['体を開く']#[['たいをひらく']]#4#['&exp;', '&v5k;']#['to stand upright with arms and/or legs spread']
['あの世に行く']#[['あのよにいく']]#4#['&exp;', '&v5k-s;']#['to die', 'to go to heaven']
['明知']#[['めいち']]#4#['&n;', '&vs;']#['knowing clearly']
['入り切る']#[['はいりきる']]#4#['&v5r;', '&vt;']#['to fit in']
['先頭を切る']#[['せんとうをきる']]#4#['&exp;', '&v5r;']#['to go first', 'to take the lead', 'to lead the way']
['意見がまとまる']#[['いけんがまとまる']]#4#['&exp;', '&v5r;']#['to agree on', 'to agree about']
['世話のかかる']#[['せわのかかる']]#4#['&exp;', '&v5r;']#['to be annoying', 'to be troublesome', 'to be a burden']
['手水を使う']#[['ちょうずをつかう']]#4#['&exp;', '&v5u;']#[\"to wash one's face and hands\"]
['箸が進む']#[['はしがすすむ']]#4#['&exp;', '&v5m;']#['to eat a lot']
['用が足りる']#[['ようがたりる']]#4#['&exp;', '&v1;']#['to do the job', 'to do the business']
['特別注文']#[['とくべつちゅうもん']]#4#['&n;', '&vs;']#['special order', 'custom order', 'bespoke (goods)']
['あずかり知る']#[['あずかりしる']]#4#['&v5r;', '&vi;']#['to be aware of', 'to know about', 'to be concerned in', 'to have to do with']
['悪口を言う']#[['わるぐちをいう'], ['わるくちをいう']]#4#['&exp;', '&v5u;']#['to insult', 'to say something insulting about', 'to bad-mouth']
['着潰す']#[['きつぶす']]#4#['&v5s;']#['to wear out (clothing)']
['思いふける']#[['おもいふける']]#4#['&v5r;', '&vi;']#['to be lost in thought', 'to be immersed in reverie']
['気持ちをそらす']#[['きもちをそらす']]#4#['&exp;', '&v5s;']#[\"to distract one's attention\"]
['着回し']#[['きまわし']]#4#['&n;', '&vs;']#['mixing and matching (clothes, accessories, etc.)', 'wearing of an item of clothing in many different combinations']
['目を回す']#[['めをまわす']]#4#['&exp;', '&v5s;']#['to faint', 'to swoon', 'to lose consciousness']
['行動をとる']#[['こうどうをとる']]#4#['&exp;', '&v5r;']#['to act', 'to take action']
['引き切る']#[['ひききる']]#4#['&v5r;']#['to saw off']
['分画']#[['ぶんかく']]#4#['&n;', '&vs;']#['demarcation', 'graduation']
['首を洗って待つ']#[['くびをあらってまつ']]#4#['&exp;', '&v5t;']#[\"to wait for one's punishment\", \"to wait before one gets what's coming to one\", {'_': \"to wash one's neck and wait (i.e. for one's beheading)\", '$': {'g_type': 'lit'}}]
['物とする']#[['ものとする']]#4#['&exp;', '&vs-i;']#['shall ...']
['集住']#[['しゅうじゅう']]#4#['&n;', '&vs;']#['dwelling together', 'living concentratedly']
['体を起こす']#[['からだをおこす']]#4#['&exp;', '&v5s;']#['to rise', 'to raise up', 'to straighten up', 'to sit up', 'to stand up']
['ほっつき回る']#[['ほっつきまわる']]#4#['&v5r;']#['to wander about', 'to wander around', 'to hang around', 'to loiter']
['答ふ']#[['こたう']]#4#['&v2h-s;', '&vi;']#['to answer', 'to reply']
['茶にする']#[['ちゃにする']]#4#['&exp;', '&vs-i;']#['to make fun of', 'to look down on', 'to make light of']
['語気を強める']#[['ごきをつよめる']]#4#['&exp;', '&v1;']#[\"to raise one's voice\", \"to lift one's voice\", 'to speak emphatically']
['体を重ねる']#[['からだをかさねる']]#4#['&exp;', '&v1;']#['to have sex', 'to have a physical relationship']
['上体を起こす']#[['じょうたいをおこす']]#4#['&exp;', '&v5s;']#['to straighten up', 'to sit upright']
['本題に入る']#[['ほんだいにはいる']]#4#['&exp;', '&v5r;']#['to get down to business', 'to cut to the chase', 'to get straight to the point', 'to move on to the main subject']
['元気が出る']#[['げんきがでる']]#4#['&exp;', '&v1;']#['to feel uplifted', 'to be cheered up', 'to hearten', 'to be inspired', 'to be energized']
['年を重ねる']#[['としをかさねる']]#4#['&exp;', '&v1;']#['to age', 'to grow old']
['気が進む']#[['きがすすむ']]#4#['&exp;', '&v5m;']#['to be inclined to do', 'to be willing to do']
['早回し']#[['はやまわし']]#4#['&n;', '&vs;']#['spinning rapidly', 'turning quickly', 'fast-forward (VCR, etc.)', 'scanning']
['文字る']#[['もじる']]#4#['&v5r;', '&vt;']#['to distort', 'to parody', 'to make a pun']
['大切にする']#[['たいせつにする']]#4#['&exp;', '&vs-i;']#['to cherish', 'to treasure', 'to prize', 'to set a high value on']
['風を食らう']#[['かぜをくらう']]#4#['&exp;', '&v5u;']#['to make a hasty escape', 'to flee helter-skelter']
['火病る']#[['ファビョる']]#4#['&v5r;']#[\"to get one's knickers in a twist\"]
['着金']#[['ちゃっきん']]#4#['&n;', '&vs;']#['arrival of remitted funds']
['一堂に会する']#[['いちどうにかいする']]#4#['&exp;', '&vs-s;']#['to assemble (in a hall)', 'to meet together (in a room)']
['風立つ']#[['かぜだつ'], ['かぜたつ']]#4#['&v5t;', '&vi;']#['to blow (wind)']
['家を空ける']#[['いえをあける'], ['うちをあける']]#4#['&exp;', '&v1;']#['to be away from home', 'to be out of the house']
['乗りはぐれる']#[['のりはぐれる']]#4#['&v1;', '&vi;']#['to miss (train, boat)']
['都合がつく']#[['つごうがつく']]#4#['&exp;', '&v5k;']#['to be possible (in terms of time, money, etc.)', 'to be able (to do)', 'to fit (schedule, budget)']
['見え始める']#[['みえはじめる']]#4#['&v1;']#['to come within sight']
['味方につける']#[['みかたにつける']]#4#['&exp;', '&v1;']#['to enlist as a supporter', \"to win over to one's side\", \"to gain as one's ally\"]
['食べ合わせる']#[['たべあわせる']]#4#['&v1;']#['to eat together (various foods)']
['糊着']#[['こちゃく']]#4#['&n;', '&vs;']#['affixing with glue', 'clinging (as if glued)']
['頭が回る']#[['あたまがまわる']]#4#['&exp;', '&v5r;']#[\"to get one's head around\", 'to think about']
['味をつける']#[['あじをつける']]#4#['&exp;', '&v1;']#['to season (e.g. with salt)', 'to flavour', 'to flavor', 'to lace (e.g. with whisky)']
['耽楽']#[['たんらく']]#4#['&n;', '&vs;']#['indulging in pleasure', 'giving oneself up to enjoyment']
['洗いっこ']#[['あらいっこ']]#4#['&n;', '&vs;']#[\"washing (somebody else's body)\", 'scrubbing each other']
['歩きスマホ']#[['あるきスマホ']]#4#['&n;', '&vs;']#['texting while walking', \"looking at one's smartphone while walking\"]
['二度づけ']#[['にどづけ']]#4#['&n;', '&vs;']#['double-dipping (a food item in sauce)']
['考覈']#[['こうかく']]#4#['&n;', '&vs;']#['considering and examining', 'pondering and investigating']
['走りすぎる']#[['はしりすぎる']]#4#['&v1;', '&vt;']#['to run past', 'to run by']
['終わりかける']#[['おわりかける']]#4#['&v1;']#['to be almost finished']
['話が合う']#[['はなしがあう']]#4#['&exp;', '&v5u;']#['to see eye to eye', 'to be on the same wavelength', 'to talk the same language']
['森立']#[['しんりつ']]#4#['&n;', '&vs;']#['standing close together']
['気持ちをリセットする']#[['きもちをリセットする']]#4#['&exp;', '&vs-i;']#['to sweep away the stresses of the day', 'to unwind', 'to refresh the mind']
['不発に終わる']#[['ふはつにおわる']]#4#['&exp;', '&v5r;']#['to misfire', 'to come to naught', 'to end in failure', 'to fizzle out', 'to fall flat']
['歩き食い']#[['あるきぐい']]#4#['&n;', '&vs;']#['walking while eating']
['じゃれ合う']#[['じゃれあう']]#4#['&v5u;']#['to frolic about', 'to mess around']
['頭立つ']#[['かしらだつ']]#4#['&v5t;', '&vi;']#['to become the head (of a group, organization, etc.)', 'to rise to the top']
['味噌をつける']#[['みそをつける']]#4#['&exp;', '&v1;']#['to make a mess of it', 'to make a hash of it', 'to fail and lose face', 'to embarrass oneself']
['知られる']#[['しられる']]#4#['&v1;', '&vi;']#['to be known']
['話し合いがつく']#[['はなしあいがつく']]#4#['&exp;', '&v5k;']#['to come to an agreement', 'to come to a mutual understanding', 'to come to terms with each other', 'to reach an arrangement']
['別行動']#[['べつこうどう']]#4#['&n;', '&vs;']#['doing something separately (from the group)', \"going off on one's own\"]
['自彊']#[['じきょう']]#4#['&n;', '&vs;']#['strenuous effort']
['音がする']#[['おとがする']]#4#['&exp;', '&vs-i;']#['to make a sound', 'to give off a sound']
['早歩き']#[['はやあるき']]#4#['&n;', '&vs;']#['fast walking', 'semi-jogging']
['おいしいところを持っていく']#[['おいしいところをもっていく']]#4#['&exp;', '&v5k-s;']#['to take a big bite']
['気持ちを汲む']#[['きもちをくむ']]#4#['&exp;', '&v5m;']#[\"to consider others' feelings\", \"to sympathize with somebody's feelings\"]
['分合']#[['ぶんごう']]#4#['&n;', '&vs;']#['dividing and uniting']
['人心地がつく']#[['ひとごこちがつく']]#4#['&exp;', '&v5k;']#[\"to come to one's senses\", 'to recover consciousness', 'to feel relieved', 'to feel relaxed']
['喋り合う']#[['しゃべりあう']]#4#['&v5u;', '&vi;']#['to talk together', 'to chat together']
['頭くる']#[['あたまくる']]#4#['&exp;', '&vk;']#['to get mad', 'to be highly offended', 'to get pissed off', 'to get angry', \"to lose one's cool\"]
['名が通る']#[['ながとおる']]#4#['&exp;', '&v5r;']#['to be well-known', 'to be famous']
['空を使う']#[['そらをつかう']]#4#['&exp;', '&v5u;']#['to pretend not to know', 'to feign ignorance']
['屹度なる']#[['きっとなる']]#4#['&exp;', '&v5r;']#['to look stern']
['空を切る']#[['くうをきる']]#4#['&exp;', '&v5r;']#['to fly through the air', 'to hurtle through the air']
['集簇']#[['しゅうぞく']]#4#['&n;', '&vs;']#['aggregation', 'accumulation']
['気運が高まる']#[['きうんがたかまる']]#4#['&exp;', '&v5r;']#['to gather momentum', 'to gather strength', '(for a trend) to reach a peak']
['小間物屋を開く']#[['こまものやをひらく']]#4#['&exp;', '&v5k;']#['to vomit', 'to spew']
['撰文']#[['せんぶん']]#4#['&n;', '&vs;']#['inscription', 'epitaph', 'composing the text for an inscription, usu. an epitaph']
['作字']#[['さくじ']]#4#['&n;', '&vs;']#['designing a font']
['試買']#[['しばい']]#4#['&n;', '&vs;']#['trial purchase']
['試し買い']#[['ためしがい']]#4#['&n;', '&vs;']#['trial purchase', 'buying on trial']
['暗がりから牛を引き出す']#[['くらがりからうしをひきだす']]#4#['&exp;', '&v5s;']#['to drive black hogs in the dark', 'to be unable to distinguish one thing from another', {'_': 'to come out from the darkness with a cow', '$': {'g_type': 'lit'}}]
['歩み去る']#[['あゆみさる']]#4#['&v5r;', '&vi;']#['to walk away', 'to saunter off']
['顔を覗く']#[['かおをのぞく']]#4#['&exp;', '&v5k;']#[\"to examine someone's expression\"]
['喉を通る']#[['のどをとおる']]#4#['&exp;', '&v5r;']#['to be able to eat', 'to be able to swallow']
['間を持たす']#[['まをもたす']]#4#['&exp;', '&v5s;']#['to fill in time', 'to stall (e.g. an audience)']
['間を持たせる']#[['まをもたせる']]#4#['&exp;', '&v1;']#['to fill in time', 'to stall (e.g. an audience)']
['先に進める']#[['さきにすすめる']]#4#['&exp;', '&v1;', '&vt;']#['to proceed with', 'to continue with', 'to move on', 'to go forward', 'to pursue']
['ひねり回す']#[['ひねりまわす']]#4#['&v5s;', '&vt;']#['to fiddle with', 'to play with']
['頭をよぎる']#[['あたまをよぎる']]#4#['&exp;', '&v5r;']#[\"to cross one's mind\", 'to be reminded']
['前に進む']#[['まえにすすむ']]#4#['&exp;', '&v5m;']#['to move forward', 'to move on']
['お茶を入れる']#[['おちゃをいれる']]#4#['&exp;', '&v1;']#['to make tea']
['人気を集める']#[['にんきをあつめる']]#4#['&exp;', '&v1;']#['to gain popularity']
